normalized_sku,match_status,tsw_sku,tsw_brand,tsw_name,tsw_images,tsw_image_ok,wc_sku,wc_type,wc_parent_sku,wc_brand,wc_name,wc_categories,wc_price,wc_in_stock,wc_published,wc_slug,wc_images,wc_last_audited,flag_name_mismatch,flag_brand_mismatch,flag_tsw_bad_image,flag_wc_missing_image,flag_tsw_missing_image,flag_wc_not_published,flag_wc_no_price,flag_wc_out_of_stock,notes
DXTT-1138,WC_ONLY,,,,,,DXTT-1138,simple,,Level 5,Level5 Cone Spring,Drywall Finishing Tools > Level 5 > Parts,2.24,1,1,level-5-cone-spring-dxtt-1138,,2026-05-07,False,False,False,True,False,False,False,False,WC has no image; not in TSW catalog
DXTT-1141,WC_ONLY,,,,,,DXTT-1141,simple,,Level 5,Level5 Bracket for Main Band Assembly,Drywall Finishing Tools > Level 5 > Parts,5.84,1,1,level-5-bracket-for-main-band-assembly,,2026-05-07,False,False,False,True,False,False,False,False,WC has no image; not in TSW catalog
EA-CLS,WC_ONLY,,,,,,EA-CLS,simple,,Columbia,Predator Taper Cam Lock Sleeve (EA:CLS),Drywall Finishing Tools > Columbia > Parts,,1,1,columbia-predator-taper-cam-lock-sleeve-ea-cls,,2026-05-07,False,False,False,True,False,False,True,False,WC has no image; not in TSW catalog
EA200,WC_ONLY,,,,,,EA200,simple,,Columbia,Predator Taper External Adapter 200 (EA200),Drywall Finishing Tools > Columbia > Parts,,1,1,columbia-predator-taper-external-adapter-ea200,,2026-05-07,False,False,False,True,False,False,True,False,WC has no image; not in TSW catalog
EABS127TTSM,TSW_ONLY,EABS127TTSM,TapeTech,TapeTech Premium ABS Float – Smooth,https://s3.amazonaws.com/tswfastcomfiles/product/20083_MD-TTTEABS127TTSM_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EALFED48,TSW_ONLY,EALFED48,TapeTech,TapeTech 4′ Aluminum Featheredge,https://s3.amazonaws.com/tswfastcomfiles/product/20089_MD-TTTEALFED48_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EALFED60,TSW_ONLY,EALFED60,TapeTech,TapeTech 5′ Aluminum Featheredge,https://s3.amazonaws.com/tswfastcomfiles/product/20090_MD-TTTEALFED60_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EALFED72,TSW_ONLY,EALFED72,TapeTech,TapeTech 6′ Aluminum Featheredge,https://s3.amazonaws.com/tswfastcomfiles/product/20091_MD-TTTEALFED72_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EBLADE04,TSW_ONLY,EBLADE04,TapeTech,TapeTech 4″ Hot Knife Blade,https://s3.amazonaws.com/tswfastcomfiles/product/20123_MD-Hot_Blade.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EBLADE06,TSW_ONLY,EBLADE06,TapeTech,TapeTech 6″ Hot Knife Blade,https://s3.amazonaws.com/tswfastcomfiles/product/20124_MD-Hot_Blade.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EBLADE08,TSW_ONLY,EBLADE08,TapeTech,TapeTech 8″ Hot Knife Blade,https://s3.amazonaws.com/tswfastcomfiles/product/20125_MD-Hot_Blade.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EEX10090,WC_ONLY,,,,,,EEX10090,variation,TT-90-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Outside Corner Edger - 1""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-outside-corner-edger-1,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-outside-corner-edger-1-EEX10090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEX125135,WC_ONLY,,,,,,EEX125135,variation,TT-135-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 135° Outside Corner Edger - 1.25""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-135-outside-corner-edger-1-25,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-135-outside-corner-edger-1-25-EEX125135-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEX15090,WC_ONLY,,,,,,EEX15090,variation,TT-90-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Outside Corner Edger - 1.5""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-outside-corner-edger-1-5,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-outside-corner-edger-1-5-EEX15090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEX200135,WC_ONLY,,,,,,EEX200135,variation,TT-135-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 135° Outside Corner Edger - 2""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-135-outside-corner-edger-2,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-135-outside-corner-edger-2-EEX200135-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEX20090,WC_ONLY,,,,,,EEX20090,variation,TT-90-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Outside Corner Edger - 2""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-outside-corner-edger-2,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-outside-corner-edger-2-EEX20090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEX275135,WC_ONLY,,,,,,EEX275135,variation,TT-135-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 135° Outside Corner Edger - 2.75""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-135-outside-corner-edger-2-75,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-135-outside-corner-edger-2-75-EEX275135-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEX5090,WC_ONLY,,,,,,EEX5090,variation,TT-90-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Outside Corner Edger - 0.5""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-outside-corner-edger-0-5,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-outside-corner-edger-0-5-EEX5090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEX7590,WC_ONLY,,,,,,EEX7590,variation,TT-90-OUTSIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Outside Corner Edger - 0.75""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-outside-corner-edger-0-75,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-outside-corner-edger-0-75-EEX7590-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EEXSET3135,IN_BOTH,EEXSET3135,TapeTech,TapeTech 3 Piece 135° Outside Corner Edgers Set,https://s3.amazonaws.com/tswfastcomfiles/product/20142_MD-TTTEEXSET3135_M.jpg,False,EEXSET3135,simple,,TapeTech,TapeTech Set of 3 – 135° Outside Corner Edgers,Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-set-of-3-135-outside-corner-edgers,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-set-of-3-135-outside-corner-edgers-EEXSET3135-1.webp,2026-05-07,True,False,True,False,False,False,True,False,name differs; TSW image uses old S3 bucket; WC no price
EEXSET590,TSW_ONLY,EEXSET590,TapeTech,TapeTech 5 Piece 90° Outside Corner Edger Set,https://s3.amazonaws.com/tswfastcomfiles/product/20143_MD-TTTEEXSET590.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EFLOAT0512N,TSW_ONLY,EFLOAT0512N,TapeTech,TapeTech 12″ x 5″ x 1/4″ EVA Neo Float,https://s3.amazonaws.com/tswfastcomfiles/product/20828_MD-TTTEFLOAT0512N.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EHC07,WC_ONLY,,,,,,EHC07,variation,TT-MAXXBOX,TapeTech,"TapeTech MAXXBOX® High Capacity Finishing Box - 7""",Drywall Finishing Tools > TapeTech > Flat Boxes,,1,1,tapetech-maxxbox-high-capacity-finishing-box-7,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-maxxbox-high-capacity-finishing-box-7-EHC07-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EHC07-AD,WC_ONLY,,,,,,EHC07-AD,variation,ASG-MAXXBOX-FINISHING-BOX,Asgard,"Asgard MAXXBOX Finishing Box -  7""",Drywall Finishing Tools > Asgard > Flat Boxes,403.0,1,1,asgard-maxxbox-finishing-box-7-ehc07-ad,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-maxxbox-finishing-box-7-EHC07-AD-1.webp,2026-05-07,False,False,False,False,False,False,False,False,not in TSW catalog
EHC10,WC_ONLY,,,,,,EHC10,variation,TT-MAXXBOX,TapeTech,"TapeTech MAXXBOX® High Capacity Finishing Box - 10""",Drywall Finishing Tools > TapeTech > Flat Boxes,,1,1,tapetech-maxxbox-high-capacity-finishing-box-10,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-maxxbox-high-capacity-finishing-box-10-EHC10-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EHC10-AD,WC_ONLY,,,,,,EHC10-AD,variation,ASG-MAXXBOX-FINISHING-BOX,Asgard,"Asgard MAXXBOX Finishing Box -  10""",Drywall Finishing Tools > Asgard > Flat Boxes,413.0,1,1,asgard-10-inch-maxxbox-finishing-box-ehc10-ad,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-maxxbox-finishing-box-10-EHC10-AD-1.webp,2026-05-07,False,False,False,False,False,False,False,False,not in TSW catalog
EHC12,WC_ONLY,,,,,,EHC12,variation,TT-MAXXBOX,TapeTech,"TapeTech MAXXBOX® High Capacity Finishing Box - 12""",Drywall Finishing Tools > TapeTech > Flat Boxes,,1,1,tapetech-maxxbox-high-capacity-finishing-box-12,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-maxxbox-high-capacity-finishing-box-12-EHC12-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EHC12-AD,WC_ONLY,,,,,,EHC12-AD,variation,ASG-MAXXBOX-FINISHING-BOX,Asgard,"Asgard MAXXBOX Finishing Box -  12""",Drywall Finishing Tools > Asgard > Flat Boxes,458.0,1,1,asgard-maxxbox-finishing-box-12-ehc12-ad,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-maxxbox-finishing-box-12-EHC12-AD-1.webp,2026-05-07,False,False,False,False,False,False,False,False,not in TSW catalog
EHK18VROTATEKIT,TSW_ONLY,EHK18VROTATEKIT,TapeTech,TapeTech 18V Air Cooled Rotating Hot Knife Kit,https://s3.amazonaws.com/tswfastcomfiles/product/20157_MD-TTTEHK18VROTATEKIT_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EHKAC18V,TSW_ONLY,EHKAC18V,TapeTech,TapeTech Air-Cooled 18V Hot Knife,https://s3.amazonaws.com/tswfastcomfiles/product/20158_MD-TTTEHKAC18V_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EHKAC500,TSW_ONLY,EHKAC500,TapeTech,TapeTech Air-Cooled Hot Knife,https://s3.amazonaws.com/tswfastcomfiles/product/20159_MD-TTTEHKAC500_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EHKAC500KIT,TSW_ONLY,EHKAC500KIT,TapeTech,TapeTech Air-Cooled Rotating Hot Knife KIT – 500,https://s3.amazonaws.com/tswfastcomfiles/product/20160_MD-TTTEHKAC500KIT_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EHKACROTATEKIT,TSW_ONLY,EHKACROTATEKIT,TapeTech,TapeTech Rotating Hot Knife Kit,https://s3.amazonaws.com/tswfastcomfiles/product/20162_MD-TTTEHKACROTATEKIT_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EHWJS100,TSW_ONLY,EHWJS100,TapeTech,TapeTech Portable Hot Wire Foam Cutter,https://s3.amazonaws.com/tswfastcomfiles/product/20168_MD-TTTEHWJS100_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EIFSAND0614,TSW_ONLY,EIFSAND0614,TapeTech,TapeTech 6″ x 14″ EIFS Vacuum Hand Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20171_MD-TTTEIFSAND0614.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EIFSAND120,TSW_ONLY,EIFSAND120,TapeTech,TapeTech 120V Dual Disc Sander,https://s3.amazonaws.com/tswfastcomfiles/product/20172_MD-TTTEIFSAND120_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EIN10090,WC_ONLY,,,,,,EIN10090,variation,TT-SIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Inside Corner Edger - 1""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-inside-corner-edger-1,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-inside-corner-edger-1-EIN10090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EIN15090,WC_ONLY,,,,,,EIN15090,variation,TT-SIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Inside Corner Edger - 1.5""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-inside-corner-edger-1-5,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-inside-corner-edger-1-5-EIN15090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EIN20090,WC_ONLY,,,,,,EIN20090,variation,TT-SIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Inside Corner Edger - 2""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-inside-corner-edger-2,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-inside-corner-edger-2-EIN20090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EIN5090,WC_ONLY,,,,,,EIN5090,variation,TT-SIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Inside Corner Edger - 0.5""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-inside-corner-edger-0-5,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-inside-corner-edger-0-5-EIN5090-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EIN7590,WC_ONLY,,,,,,EIN7590,variation,TT-SIDE-CORNER-EDGER,TapeTech,"TapeTech 90° Inside Corner Edger - 0.75""",Drywall Finishing Tools > TapeTech > Corner Tools,,1,1,tapetech-90-inside-corner-edger-0-75,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-90-inside-corner-edger-0-75-EIN7590-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
EINSET590,TSW_ONLY,EINSET590,TapeTech,TapeTech 5 Piece 90° Inside Corner Edger Set,https://s3.amazonaws.com/tswfastcomfiles/product/20181_MD-TTTEINSET590_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ER2LT,WC_ONLY,,,,,,ER2LT,simple,,Columbia,Predator Taper Tension Rod Left (ER2LT),Drywall Finishing Tools > Columbia > Parts,,1,1,columbia-predator-taper-tension-rod-left-er2lt,,2026-05-07,False,False,False,True,False,False,True,False,WC has no image; not in TSW catalog
ERASP0214,TSW_ONLY,ERASP0214,TapeTech,TapeTech 2″ x 14″ Tungsten Carbide Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20187_MD-ERASP0214_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ERASP0414,TSW_ONLY,ERASP0414,TapeTech,TapeTech 4″ x 14″ Tungsten Carbide EIFS Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20188_MD-TTTERASP0414.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ERASP0614,TSW_ONLY,ERASP0614,TapeTech,TapeTech 6″ x 14″ Tungsten Carbide EIFS Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20190_MD-TTTERASP0614_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ERASP0814,TSW_ONLY,ERASP0814,TapeTech,TapeTech 8″ x 14″ Tungsten Carbide EIFS Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20191_MD-TTTERASP0814_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ERASPSERRATED0414,TSW_ONLY,ERASPSERRATED0414,TapeTech,TapeTech 4″ x 14″ Tungsten Carbide EIFS Claw Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20193_MD-TTTERASPSERRATED0414.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ERASPSERRATED0614,TSW_ONLY,ERASPSERRATED0614,TapeTech,"TapeTech 6"" x 14"" Tungsten Carbide Claw Rasp",https://s3.amazonaws.com/tswfastcomfiles/product/20194_MD-TTTERASPSERRATED0614_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ESAND0414,TSW_ONLY,ESAND0414,TapeTech,TapeTech 4″ x 14″ EIFSAND Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20197_MD-TTTESAND0414_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ESAND0614,TSW_ONLY,ESAND0614,TapeTech,TapeTech 6″ x 14″ EIFSAND Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20198_MD-TTTESAND0414_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
ESAND0814,TSW_ONLY,ESAND0814,TapeTech,TapeTech 8″ x 14″ EIFSAND Rasp,https://s3.amazonaws.com/tswfastcomfiles/product/20199_MD-TTTESAND0814_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
EXT35,WC_ONLY,,,,,,EXT35,simple,,Columbia,Extension Tube 35 in (EXT35),Drywall Finishing Tools > Columbia > Parts,,1,1,columbia-extension-tube-35in-ext35,,2026-05-07,False,False,False,True,False,False,True,False,WC has no image; not in TSW catalog
EXTENDABLE-ACCESSORY-HANDLE,WC_ONLY,,,,,,EXTENDABLE-ACCESSORY-HANDLE,variable,,Level 5,Level5 Extendable Accessory Handle,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,,1,1,level-5-extendable-accessory-handle-lvl5-ext-hdl,,2026-05-07,False,False,False,True,False,False,True,False,WC has no image; not in TSW catalog
EZ07-AD,WC_ONLY,,,,,,EZ07-AD,variation,ASG-FINISHING-BOX,Asgard,"Asgard Finishing Box -  7""",Drywall Finishing Tools > Asgard > Flat Boxes,330.0,1,1,asgard-finishing-box-7-ez07-ad,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-finishing-box-7-EZ07-AD-1.webp,2026-05-07,False,False,False,False,False,False,False,False,not in TSW catalog
EZ07TT,WC_ONLY,,,,,,EZ07TT,variation,TT-EASYCLEAN-FINISHING-BOX,TapeTech,"TapeTech EasyClean® Finishing Box - 7""",Drywall Finishing Tools > TapeTech > Flat Boxes,,1,1,tapetech-easyclean-finishing-box-7,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-easyclean-finishing-box-7-EZ07TT-1.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
