brand,wc_row_number,wc_type,wc_sku,wc_mpn,wc_parent,wc_name,wc_short_description_empty,wc_description_empty,wc_categories,wc_images_count,reference_match_status,reference_model,reference_name,reference_section,reference_page,reference_source,reference_url,reference_category,part_reference_name,part_reference_price,proposed_name,proposed_short_description,proposed_description,proposed_categories,proposed_images,can_update_name,can_update_short_description,can_update_description,can_update_categories,can_update_images,priority,optimization_reasons,notes
TapeTech,491,simple,050004,050004,,"Wiper, Retainer",0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,492,simple,050017,050017,,Collar Bushing,0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,493,simple,050019,050019,,Disengaging Cam,0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,494,simple,050023F,050023F,,Spacer Bar,0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,495,simple,050027,050027,,"Lock, Needle Holder",0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,496,simple,050030,050030,,Magnet,0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,497,simple,050031,050031,,"Bushing, Gooser",0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,498,simple,050034F,050034F,,Disengaging Rod,0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,499,simple,050043F,050043F,,Anvil,0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
TapeTech,500,simple,050050F,050050F,,Needle Holder,0,0,Drywall Finishing Tools > TapeTech > Replacement Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,,
