sku,row_type,parent,name,missing_basenames
EEX125135,variation,TT-135-OUTSIDE-CORNER-EDGER,"TapeTech 135° Outside Corner Edger - 1.25""",tapetech-eex125135-01.webp
EEX200135,variation,TT-135-OUTSIDE-CORNER-EDGER,"TapeTech 135° Outside Corner Edger - 2""",tapetech-eex200135-01.webp
EEX275135,variation,TT-135-OUTSIDE-CORNER-EDGER,"TapeTech 135° Outside Corner Edger - 2.75""",tapetech-eex275135-01.webp
TT-90-INSIDE-CORNER-EDGER,variable,,TapeTech 90° Inside Corner Edger,tapetech-ein10090-01.webp; tapetech-ein15090-01.webp; tapetech-ein20090-01.webp; tapetech-ein5090-01.webp; tapetech-ein7590-01.webp
EIN5090,variation,TT-90-INSIDE-CORNER-EDGER,"TapeTech 90° Inside Corner Edger - 0.5""",tapetech-ein5090-01.webp
EIN7590,variation,TT-90-INSIDE-CORNER-EDGER,"TapeTech 90° Inside Corner Edger - 0.75""",tapetech-ein7590-01.webp
EIN10090,variation,TT-90-INSIDE-CORNER-EDGER,"TapeTech 90° Inside Corner Edger - 1""",tapetech-ein10090-01.webp
EIN15090,variation,TT-90-INSIDE-CORNER-EDGER,"TapeTech 90° Inside Corner Edger - 1.5""",tapetech-ein15090-01.webp
EIN20090,variation,TT-90-INSIDE-CORNER-EDGER,"TapeTech 90° Inside Corner Edger - 2""",tapetech-ein20090-01.webp
TT-90-OUTSIDE-CORNER-EDGER,variable,,TapeTech 90° Outside Corner Edger,tapetech-eex10090-01.webp; tapetech-eex15090-01.webp; tapetech-eex20090-01.webp; tapetech-eex5090-01.webp; tapetech-eex7590-01.webp
EEX5090,variation,TT-90-OUTSIDE-CORNER-EDGER,"TapeTech 90° Outside Corner Edger - 0.5""",tapetech-eex5090-01.webp
EEX7590,variation,TT-90-OUTSIDE-CORNER-EDGER,"TapeTech 90° Outside Corner Edger - 0.75""",tapetech-eex7590-01.webp
EEX10090,variation,TT-90-OUTSIDE-CORNER-EDGER,"TapeTech 90° Outside Corner Edger - 1""",tapetech-eex10090-01.webp
EEX15090,variation,TT-90-OUTSIDE-CORNER-EDGER,"TapeTech 90° Outside Corner Edger - 1.5""",tapetech-eex15090-01.webp
EEX20090,variation,TT-90-OUTSIDE-CORNER-EDGER,"TapeTech 90° Outside Corner Edger - 2""",tapetech-eex20090-01.webp
TT-COMPOUND-TUBE,variable,,TapeTech Compound Tube,tapetech-ct24tt-01.webp; tapetech-ct36tt-01.webp; tapetech-ct42tt-01.webp
CT24TT,variation,TT-COMPOUND-TUBE,"TapeTech Compound Tube - 24""",tapetech-ct24tt-01.webp
CT36TT,variation,TT-COMPOUND-TUBE,"TapeTech Compound Tube - 36""",tapetech-ct36tt-01.webp
CT42TT,variation,TT-COMPOUND-TUBE,"TapeTech Compound Tube - 42""",tapetech-ct42tt-01.webp
TT-ITALIAN-ABS-FLOAT,variable,,TapeTech Italian ABS Float,tapetech-vabs050-01.webp; tapetech-vabs130-01.webp
VABS050,variation,TT-ITALIAN-ABS-FLOAT,"TapeTech Italian ABS Float - 2""",tapetech-vabs050-01.webp
VABS130,variation,TT-ITALIAN-ABS-FLOAT,"TapeTech Italian ABS Float - 5""",tapetech-vabs130-01.webp
CTA01TT,simple,,TapeTech Compound Tube Filler Adapter,tapetech-cta01tt-01.webp; tapetech-cta01tt-02.webp; tapetech-cta01tt-03.webp; tapetech-cta01tt-04.webp
804003F,simple,,Grip Assembly For Box Handle,tapetech-804003f-01.webp
MP12TT,simple,,"TapeTech 12"" Stainless Steel Mud Pan",tapetech-mp12tt-01.webp; tapetech-mp12tt-02.webp; tapetech-mp12tt-03.webp
EFLOAT0512N,simple,,TapeTech 12″ x 5″ x 1/4″ EVA Neo Float,tapetech-efloat0512n-01.webp
HWK001PS,simple,,"TapeTech 13"" x 13"" Aluminum Hawk",tapetech-hwk001-ps-01.webp; tapetech-hwk001-ps-02.webp; tapetech-hwk001ps-01.webp
HWK002BLK,simple,,"TapeTech 13"" x 13"" Premium Aluminum Hawk – Black",tapetech-hwk002-blk-01.webp; tapetech-hwk002-blk-02.webp
MP14TT,simple,,"TapeTech 14"" Premium Stainless Steel Mud Pan",tapetech-mp14tt-01.webp
EABS127TTSM,simple,,TapeTech Premium ABS Float – Smooth,tapetech-eabs127ttsm-01.webp
EINSET590,simple,,TapeTech 5 Piece 90° Inside Corner Edger Set,tapetech-einset590-01.webp
EEXSET590,simple,,TapeTech 5 Piece 90° Outside Corner Edger Set,tapetech-eexset590-01.webp
