target,status,strategy,source,score,notes
columbia_3wtdf_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-3WTDF-01.webp,1.0,"3WTCSF,3WTDF,COL-COMBO-FLUSHER,COL-DIRECT-FLUSHER"
columbia_automatic_flat_boxes_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-automatic-flat-boxes_01.webp,1.0,"10FBBA,10FFBA,12FBBA,12FFBA,14FFBA,8FFBA,COL-AUTOMATIC-FAT-BOY-BOX,COL-AUTOMATIC-FLAT-BOX"
columbia_cflt_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-CFLT-01.webp,1.0,"CFLT,COL-BILLET-MUD-APPLICATOR"
columbia_cltha_03.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-CLTHA-03.webp,1.0,CLTHA
columbia_cmh_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-CMH-01.webp,1.0,CMH
columbia_col_predator_matrix_box_handle_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-COL-PREDATOR-MATRIX-BOX-HANDLE-01.webp,1.0,"COL-PREDATOR-MATRIX-HANDLE,PMH,PMHL"
columbia_flat_box_handle_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-flat-box-handle_01.webp,1.0,"3BH,42BH,4BH,5BH,6BH,COL-180-GRIP-FLAT-BOX-HANDLE"
columbia_pts_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-PTS-01.webp,1.0,"COL-TOOL-SET,PTS"
columbia_staper_03.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-STAPER-03.webp,1.0,"COL-AUTOMATIC-TAPER,STAPER"
columbia_taper_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\columbia-TAPER-01.webp,1.0,"COL-AUTOMATIC-TAPER,TAPER"
tapetech_07tt_05.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-07TT-05.webp,1.0,"07TT,TT-EASYCLEAN-AUTOMATIC-TAPER"
tapetech_07tt_06.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-07TT-06.webp,1.0,"07TT,TT-EASYCLEAN-AUTOMATIC-TAPER"
tapetech_07tt_07.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-07TT-07.webp,1.0,"07TT,TT-EASYCLEAN-AUTOMATIC-TAPER"
tapetech_07tt_08.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-07TT-08.webp,1.0,"07TT,TT-EASYCLEAN-AUTOMATIC-TAPER"
