Brand,Brand slug,Brand page URL,Record type,Source product ID,Parent product ID,Product Name,Product SKU,Variation,Price USD,Weight (lbs),Length (in),Width (in),Height (in),Shipping data status,Product URL,Store API URL,Verified at
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6048,0,Columbia Road Case,COL-RC,,711.38,,,,,missing,https://masterbuildingmaterials.com/product/road-case/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6048?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6049,0,Columbia Semi Automatic Tool Case,COL-TCS,,188.00,2,54,16,5,complete,https://masterbuildingmaterials.com/product/semi-automatic-tool-case/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6049?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6050,0,Columbia 53″ Predator Automatic Taper,COL-PTAPER,,1630.28,11.33,6.5,6.5,55,complete,https://masterbuildingmaterials.com/product/53-predator-automatic-taper/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6050?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6051,0,Columbia 53″ Automatic Taper,COL-TAPER,,1447.09,11.33,6.5,6.5,55,complete,https://masterbuildingmaterials.com/product/53-automatic-taper/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6051?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6052,0,Columbia 39″ Sawed Off Automatic Taper,COL-STAPER,,1447.09,11.33,6.5,6.5,55,complete,https://masterbuildingmaterials.com/product/39-sawed-off-automatic-taper/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6052?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6053,0,Columbia 39″ Sawed Off Predator Automatic Taper,COL-SPTAPER,,1630.28,5,42,6,6,complete,https://masterbuildingmaterials.com/product/39-sawed-off-predator-automatic-taper/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6053?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6054,0,Columbia Tallboy Mud Pump,COL-TBMP,,406.65,11,9,7,37,complete,https://masterbuildingmaterials.com/product/tallboy-mud-pump/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6054?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6055,0,Columbia Mud Pump,COL-HMP,,311.41,11,8,6,20,complete,https://masterbuildingmaterials.com/product/mud-pump/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6055?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6056,0,Columbia Gooseneck,COL-GN,,73.27,2,16,5,1,complete,https://masterbuildingmaterials.com/product/gooseneck-2/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6056?aelia_cs_currency=USD,2026-07-20
Columbia Tools,columbia-tools,https://masterbuildingmaterials.com/brands/columbia-tools/?aelia_cs_currency=USD,simple,6057,0,Columbia Tallboy Gooseneck,COL-TBGN,,106.25,,,,,missing,https://masterbuildingmaterials.com/product/tallboy-gooseneck/?aelia_cs_currency=USD,https://masterbuildingmaterials.com/wp-json/wc/store/v1/products/6057?aelia_cs_currency=USD,2026-07-20
