manufacturer,part_number,product_name,description_text,features,image_urls
TapeTech,88TTE,41 in - 63 in TapeTech XTender Finishing Box Handle,"The TapeTech XTender® Finishing Box Handle attaches to the EasyClean®, EasyClean® High Capacity or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a perfect finish. The XTender® is the strongest extendable finishing box handle in the industry and adjusts from 41"" to 63"" for increased reach and versatility. Features Extends for greater reach with all TapeTech finishing boxes Anodized aluminum construction Extends from 41"" to 63""","Extends for greater reach with all TapeTech finishing boxes | Anodized aluminum construction | Extends from 41"" to 63""",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT88TTE_M.jpg
TapeTech,EZ12TT,12 in TapeTech EasyClean Finishing Box,"The TapeTech EasyClean® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The EasyClean Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the drywall or sheetrock on one side of the joint is higher than the other side of the joint. The new EasyRoll™ wheel system allows you to expertly finish all types of outside corner bead up to two times faster than finishing by hand. EasyRoll™ wheels work with all types of outside corner bead including metal, paper-faced, vinyl and bullnose. EasyRoll™ wheels provide a shoulder to guide the finishing box along the corner bead without after-market attachments or damage to the axle. The shoulder of the EasyRoll wheels is more than three times wider than after-market products, making it easier to place, and keep, the finishing box on the corner bead. And EasyRoll™ wheels are engineered and designed to be perfectly aligned with the finishing blade, eliminating the need to tilt the finishing box like you must with common after-market wheel systems. EasyRoll™ wheels do not affect how the finishing box runs on standard flat joints. All TapeTech finishing boxes now feature EasyRoll™ wheels for finishing outside corner bead. Features Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints",Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings | Finishes butt joints and flat joints on walls and ceilings | Feathers edges of butt joints and flat joints,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT30TTX_M.jpg
TapeTech,EZ10TT,"10"" EasyClean Finishing Box","The TapeTech EasyClean Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The EasyClean Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the drywall or sheetrock on one side of the joint is higher than the other side of the joint. The new EasyRoll wheel system allows you to expertly finish all types of outside corner bead up to two times faster than finishing by hand. EasyRoll wheels work with all types of outside corner bead including metal, paper-faced, vinyl and bullnose. EasyRoll wheels provide a shoulder to guide the finishing box along the corner bead without after-market attachments or damage to the axle. The shoulder of the EasyRoll wheels is more than three times wider than after-market products, making it easier to place, and keep, the finishing box on the corner bead. And EasyRoll wheels are engineered and designed to be perfectly aligned with the finishing blade, eliminating the need to tilt the finishing box like you must with common after-market wheel systems. EasyRoll wheels do not affect how the finishing box runs on standard flat joints. All TapeTech finishing boxes now feature EasyRoll wheels for finishing outside corner bead. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints",Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings | Finishes butt joints and flat joints on walls and ceilings | Feathers edges of butt joints and flat joints,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT25TTX_M.jpg
TapeTech,76TT,TapeTech EasyClean Loading Pump,"The TapeTech 76TT EasyClean® Loading Pump combines reliability with innovation. The 76TT features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The TapeTech 76TT Loading Pump has a redesigned head and a new Twist-lock foot valve that provides secure attachment and easy removal for cleaning and maintenance. And the 76TT does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets. The 76TT pump accepts the standard 85T gooseneck and 90T filler adapter. Features Fills Automatic Tapers (with 85T gooseneck) Fills finishing boxes, MudRunner®, corner applicators and nail spotters (with 90T filler adapter)","Fills Automatic Tapers (with 85T gooseneck) | Fills finishing boxes, MudRunner®, corner applicators and nail spotters (with 90T filler adapter)",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT76TT_M.jpg
TapeTech,XHTT,TapeTech Extension Handle,"TapeTech is the first company to introduce an interchangeable handle system that allows one support handle to be used with every tool. Whether you use standard, fixed length fiberglass handles or aluminum extension support handles, you’ll need just one base handle. The base handle for the fiberglass system is model FHTT. The base handle for the extension handle system is model XHTT. The base handle fits the corner roller, corner applicator and nail spotter without any adapters. The heavy duty, easy-to-change adapter (CFA-TT) connects the new handles to the corner finishers, and the new, optimal diameter makes TapeTech handles the most ergonomic in the industry. Both base handles feature a D-shaped fitting that securely positions the handle in the Corner Applicator and positively prevents the tool from rotating during use. Note: If you use your current Nail Spotters with the new handle system you will need to mount the handle in the back holes of the tabs on the Nail Spotter.",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTXHTT_M.jpg
TapeTech,90TT,TapeTech Filler Adapter,"The TapeTech 90T Filler Adapter attaches to the TapeTech 72TT or 76TT EasyClean™ Pumps to fill Corner Applicators, Nail Spotters and EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing boxes with joint compound. Use with gasket 700049 (not included).",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT90TT_M.jpg
TapeTech,07TT,TapeTech EasyClean Automatic Taper,"The TapeTech 07TT EasyClean® Automatic Taper redefines quality, durability and value. The Taper simultaneously applies tape and the correct amount of joint compound for all drywall joints - dramatically improving taping efficiency. The EasyClean® cover plate can be removed with just a quarter turn for quick and easy cleaning or service. The stainless steel side plates, along with a hard anodized push rod and cable drum, prevent corrosion and provide long life. The adjustable brake allows you to set and maintain the desired tension on the main wheels. The control tube has enclosed rollers to provide the most comfortable grip while protecting your hands from the pinching that can occur with other brands. The integrated hook on the spool keeper lets you hang the taper from framing or scaffolding. The smaller diameter of the new tube protector provides maximum comfort and requires no tools to remove for easy cleaning and cable replacement. All these features make the new 07TT Taper the best choice for professional drywall finishers. Features Applies joint compound and tape to butt joints and flat joints on walls and ceilings Applies joint compound and tape to internal corners on walls and ceilings Easy clean cover plate Stainless steel side plates Hard anodized push rod and cable drum Adjustable brake Enclosed rollers on control tube Integrated hook Smaller diameter tube protector Includes (1) 050081F Extra spring (1) 054209F Extra main cable assembly (1) 056133 Extra pyramid blade (1) 059049 Extra gooser needle",Applies joint compound and tape to butt joints and flat joints on walls and ceilings | Applies joint compound and tape to internal corners on walls and ceilings | Easy clean cover plate | Stainless steel side plates | Hard anodized push rod and cable drum | Adjustable brake | Enclosed rollers on control tube | Integrated hook | Smaller diameter tube protector | (1) 050081F Extra spring | (1) 054209F Extra main cable assembly | (1) 056133 Extra pyramid blade | (1) 059049 Extra gooser needle,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT07TT_M.jpg
TapeTech,502H,TapeTech #2 Pump Repair Kit,"For repair and maintenance of the 72TT and 73TT pumps. Includes (1) 700005 ""U"" cup (1) 720009 Piston cup [replaces 700009] (2) 700010F Valve discs (1) 700029 Bushing liner","(1) 700005 ""U"" cup | (1) 720009 Piston cup [replaces 700009] | (2) 700010F Valve discs | (1) 700029 Bushing liner",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT502_M.jpg
TapeTech,501C12,12 in TapeTech Flat Box Repair Kit,"For repair and maintenance of the TapeTech 20TTX flat finishing box and T20CF Bazooka CFS 12"" finishing box. Includes (3) 300001 12"" Stainless steel blades (2) 209006 Skid covers, right side (2) 209039 Skid covers, left side","(3) 300001 12"" Stainless steel blades | (2) 209006 Skid covers, right side | (2) 209039 Skid covers, left side",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT501C10_M.jpg
TapeTech,15TTEWOH,TapeTech Inside Corner Roller w/o Handle,The TapeTech Inside Corner Roller quickly and accurately embeds the tape firmly into the internal corners of the drywall. Use the corner roller immediately after applying joint tape to the internal corner with the automatic taper. The corner roller forces excess joint compound out from behind the tape in preparation for the corner finisher. The TapeTech Corner Roller features stainless steel rollers for crisp edges and long life. Features Embeds tape into compound at inside corners of walls and ceilings Forces excess joint compound out of corner in preparation for corner finisher/flusher to smooth,Embeds tape into compound at inside corners of walls and ceilings | Forces excess joint compound out of corner in preparation for corner finisher/flusher to smooth,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT15TTEWOH_M.jpg
TapeTech,48TT,3 in TapeTech EasyRoll Adjustable Corner Finisher,"The TapeTech EasyRoll Adjustable Corner Finisher is used to perfectly feather both joint compound edges of internal corners in one pass. The Corner Finishers can be used for wall-to-wall internal corners or wall-to-ceiling corners. The adjustable feature of this tool refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the corner finisher. Corner Finishers, also referred to as Angle Finishers or Angle Heads, are attached to a corner applicator or the 14TT MudRunner to quickly and professionally finish internal drywall corners. EasyRoll Adjustable Corner Finishers have wheels to provide the smoothest action on the wall and are spring loaded to help compensate for slightly imperfect corners. Use with the FHTT Fiberglass Handle or the XHTT Extension Handle – not included. Features Wipes down excess mud in internal corners Embeds inside corner tape on walls and ceilings Finishes inside corners of walls and ceilings Stainless steel frames Patented, positive ball retainer EasyRoll wheels Adjustable springs","Wipes down excess mud in internal corners | Embeds inside corner tape on walls and ceilings | Finishes inside corners of walls and ceilings | Stainless steel frames | Patented, positive ball retainer | EasyRoll wheels | Adjustable springs",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT48TT_M.jpg
TapeTech,501C10,10 in TapeTech Flat Box Repair Kit,"For repair and maintenance of the TapeTech 20TTX flat finishing box and 10"" T20CF Bazooka CFS finishing box. Includes (3) 250001 10"" Stainless steel blades (2) 209006 Skid covers, right side (2) 209039 Skid covers, left side","(3) 250001 10"" Stainless steel blades | (2) 209006 Skid covers, right side | (2) 209039 Skid covers, left side",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT501C10_M.jpg
TapeTech,PFK32TT,"TapeTech 32"" Premium Finishing Knife","Introducing an improved range of premium finishing knives for smoothing joint compound. Featuring a replaceable blade and redesigned grip profile, TapeTech premium finishing knives are the most ergonomic smoothing knives available. The new handle adapter is more robust, provides quick angle adjustment and improved durability. Best Quality AND Best Value, these premium finishing knives offer the best value in the industry. Up to 49% less than other brands, TapeTech makes it possible for every finisher to achieve the best results! Features: Optimal Comfort, Control And Ergonomics Molded Texture Provides Superior Grip Stainless Steel Blade 33% Lighter Than Competitive Brands Blades Are Now Easily To Replaceable 49% Less Than Other Brands","Optimal Comfort, Control And Ergonomics | Molded Texture Provides Superior Grip | Stainless Steel Blade | 33% Lighter Than Competitive Brands | Blades Are Now Easily To Replaceable | 49% Less Than Other Brands",https://s3.amazonaws.com/tswfastcomfiles/product/TTTPFK32TT_M.jpg
TapeTech,CA08TT,"8"" Corner Applicator",The TapeTech Corner Applicator supplies joint compound to the Corner Finishers for fast and efficient finishing of internal corners (angles). Corner Applicators are also used with Mud Heads to quickly and cleanly apply joint compound to internal or external corners for the installation of paper-faced corner bead. TapeTech Corner Applicators feature a stainless steel cone. Use with the FHTT Fiberglass Handle or the XHTT Extension Handle not included. Applies joint compound to external corners for paper faced bead application (with 16TT) Applies joint compound to inside corner for tape application (with 16TT90) Finishes internal corners (with corner finishers),Applies joint compound to external corners for paper faced bead application (with 16TT) | Applies joint compound to inside corner for tape application (with 16TT90) | Finishes internal corners (with corner finishers),https://s3.amazonaws.com/tswfastcomfiles/product/TTTCA08TT_M.jpg
TapeTech,48XTT,3 1/2 in TapeTech EasyRoll Adjustable Corner Finisher,"The TapeTech EasyRoll® Adjustable Corner Finisher is used to perfectly feather both joint compound edges of internal corners in one pass. The Corner Finishers can be used for wall-to-wall internal corners or wall-to-ceiling corners. The “adjustable” feature of this tool refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the corner finisher. Corner Finishers, also referred to as Angle Finishers or Angle Heads, are attached to a corner applicator (CA07TT or CA08TT) or the 14TT MudRunner® to quickly and professionally finish internal drywall corners. EasyRoll® Adjustable Corner Finishers have wheels to provide the smoothest action on the wall and are spring loaded to help compensate for slightly imperfect corners. Use with the FHTT Fiberglass Handle or the XHTT Extension Handle – not included. Features Embeds inside corner tape on walls and ceilings Finishes inside corners of walls and ceilings Wipes down excess mud in internal corners Stainless steel frames Patented, positive ball retainer EasyRoll wheels Adjustable springs","Embeds inside corner tape on walls and ceilings | Finishes inside corners of walls and ceilings | Wipes down excess mud in internal corners | Stainless steel frames | Patented, positive ball retainer | EasyRoll wheels | Adjustable springs",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT48XTT_m.jpg
TapeTech,PFK24TT,"TapeTech 24"" Premium Finishing Knife","Introducing an improved range of premium finishing knives for smoothing joint compound. Featuring a replaceable blade and redesigned grip profile, TapeTech premium finishing knives are the most ergonomic smoothing knives available. The new handle adapter is more robust, provides quick angle adjustment and improved durability. Best Quality AND Best Value, these premium finishing knives offer the best value in the industry. Up to 49% less than other brands, TapeTech makes it possible for every finisher to achieve the best results! Features: Optimal Comfort, Control And Ergonomics Molded Texture Provides Superior Grip Stainless Steel Blade 33% Lighter Than Competitive Brands Blades Are Now Easily To Replaceable 49% Less Than Other Brands","Optimal Comfort, Control And Ergonomics | Molded Texture Provides Superior Grip | Stainless Steel Blade | 33% Lighter Than Competitive Brands | Blades Are Now Easily To Replaceable | 49% Less Than Other Brands",https://s3.amazonaws.com/tswfastcomfiles/product/TTTPFK24TT_M.jpg
TapeTech,056707,TapeTech Bazooka Oil Aerosol Spray 8oz,"Specially formulated for lubricating Automatic Taping and Finishing Tools. Bazooka Oil keeps your tools running free, but more importantly this bazooka oil acts as a water barrier that will keep away corrosion, to extend the life of your drywall tools. Avoid the damage to gaskets wipers and O-rings caused by the use of solvent based lubricants such as WD-40. TapeTech Bazooka Oil is the ideal solution for the TapeTech Automatic Taper, Mud Runner, and any other ATF taping tool.",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT056707_M.jpg
TapeTech,85TT,TapeTech Gooseneck Adapter,"The TapeTech 85T Gooseneck Adapter is used with either the 72TT, 73TT or 76TT loading pump to fill the automatic taper. It features a heavy duty, durable design to provide years of service. Use with gasket 700049 (for 72TT or 73TT only - not included). Features Integrated foot for stability Efficiently fills TapeTech automatic tapers",Integrated foot for stability | Efficiently fills TapeTech automatic tapers,https://s3.amazonaws.com/gmscom/master/media-common/product/TA85TTmedium.jpg
TapeTech,07TTC,CARBON FIBER EasyClean Automatic Taper,"TapeTech is excited to introduce the new 07TT-C Carbon Fiber Automatic Taper -the world’s lightest automatic taper. At just 5.65 pounds, the 07TT-C is up to 20% lighter than competitive tapers, reducing worker fatigue. Both the main tube and the control tube are carbon fiber, a material that will not dent and is temperature-neutral. No more cold tubes in the winter or hot tubes in the summer! Features: •Carbon Fiber Main Tube and Control Tube •EasyClean Cover Plate •Adjustable Brake •Tool-less Tube Protector •Tool Hook",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT07TTC_close_up.jpg
TapeTech,AMERK4006,"Feather Lite Finishing Knife with Texture Handle - 6""","Flexible Blue Steel blade Lightweight and balanced for effortless taping and finishing Strong, yet very comfortable plastic handle","Flexible Blue Steel blade | Lightweight and balanced for effortless taping and finishing | Strong, yet very comfortable plastic handle",https://s3.amazonaws.com/tswfastcomfiles/product/AMERK4006_M.jpg
TapeTech,FHTT,TapeTech Fiberglass Handle,"TapeTech is the first company to introduce an interchangeable handle system that allows one support handle to be used with every tool. Whether you use standard, fixed length fiberglass handles or aluminum extension support handles, you’ll need just one base handle. The base handle for the fiberglass system is model FHTT. The base handle for the extension handle system is model XHTT. The base handle fits the corner roller, corner applicator and nail spotter without any adapters. The heavy duty, easy-to-change adapters (CFA-TT) connect the new handles to the corner finishers. And the new, optimal diameter makes TapeTech handles the most ergonomic in the industry. Both base handles feature a D-shaped fitting that securely positions the handle in the Corner Applicator and positively prevents the tool from rotating during use. Note: If you use your current Nail Spotters with the new handle system you will need to mount the handle in the back holes of the tabs on the Nail Spotter.",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTFHTT_M.jpg
TapeTech,BAN001TT,TapeTech Mud Dog Banjo,"The TapeTech Premium Mud Dog Taping Banjo (BAN001 TT) is loaded with features like side straps for left or right handed use, a cutting blade / roller assembly, and a truly ergonomic handle. Perfect for smaller jobs, this banjos functional design beats taping joints by hand. The Mud Dog also holds 33% more compound than traditional banjos, so you get more taping done between fills. Features: Adjustable Mud Flow Lightweight Polycarbonate / ABS 33% More Capacity. Holds Up To 500' Rolls Right Or Left Hand Use Ergonomic Handle Easy Install Cutting Blade",Adjustable Mud Flow | Lightweight Polycarbonate / ABS | 33% More Capacity. | Holds Up To 500' Rolls | Right Or Left Hand Use | Ergonomic Handle | Easy Install Cutting Blade,https://s3.amazonaws.com/tswfastcomfiles/product/TTTBAN001TT_M.jpg
TapeTech,40XTT,"TapeTech 2"" Angle Head Drywall Corner Finisher - 40XTT","TapeTech 2"" Angle Head Drywall Corner Finisher The corner finisher is designed to wipe down and feather both sides of an internal corner in one pass. Used to follow the Corner Roller and wipe down excess compound left when the tape is embedded into the corner. The spring action compensates for corners that are slightly over or under 90 degrees and the blade design produces smoothly feathered internal corners.","TapeTech 2"" Angle Head Drywall Corner Finisher | The corner finisher is designed to wipe down and feather both sides of an internal corner in one pass. | Used to follow the Corner Roller and wipe down excess compound left when the tape is embedded into the corner. The spring action compensates for corners that are slightly over or under 90 degrees and the blade design produces smoothly feathered internal corners.",https://s3.amazonaws.com/tswfastcomfiles/product/TTT40XTT_M.jpg
TapeTech,502CN,TapeTech Flat Box Wheel Repair Kit,"For repair or maintenance of all sizes and types of TapeTech Finishing Boxes (Flat, EasyClean and Power Assist). Includes (2) 059148 Nyliner bearing [replaces 219076] (2) 200052F Shoulder screws [replaces 210073] (2) 209042 #10 Brass washers (4) 219067 #310 Buna ""O"" ring (2) 310051F Box wheels","(2) 059148 Nyliner bearing [replaces 219076] | (2) 200052F Shoulder screws [replaces 210073] | (2) 209042 #10 Brass washers | (4) 219067 #310 Buna ""O"" ring | (2) 310051F Box wheels",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT502CN_M.jpg
TapeTech,JK05SSTT,"TapeTech 5"" Premium Stainless Steel Joint Knife","TapeTech 5"" Premium Stainless Steel Joint Knife",,https://s3.amazonaws.com/tswfastcomfiles/product/TTTJK05SSTT_M.jpg
TapeTech,050413,TapeTech Control Tube Wheel,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.",,https://s3.amazonaws.com/gmscom/master/media-common/product/050413_med.jpg
TapeTech,729009,"Wiper, U-Cup","Wiper, U-Cup",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT729009_M.jpg
TapeTech,CA07TT,7 in TapeTech Corner Applicator,The TapeTech Corner Applicator supplies joint compound to the Corner Finishers for fast and efficient finishing of internal corners (angles). Corner Applicators are also used with Applicator Heads to quickly and cleanly apply joint compound to internal or external corners for the installation of paper-faced corner bead. TapeTech Corner Applicators feature a stainless steel cone. Use with the FHTT Fiberglass Handle or the XHTT Extension Handle – not included. Features Applies joint compound to external corners for paper faced bead application (with 16TT) Applies joint compound to inside corner for tape application (with 16TT90) Finishes internal corners (with corner finishers) Stainless steel cone,Applies joint compound to external corners for paper faced bead application (with 16TT) | Applies joint compound to inside corner for tape application (with 16TT90) | Finishes internal corners (with corner finishers) | Stainless steel cone,https://s3.amazonaws.com/tswfastcomfiles/product/TTTCA07TT_M.jpg
TapeTech,054032F,Push Rod Assembly,Push Rod Assembly,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT054032F_M.jpg
TapeTech,JK06CSTT,"TapeTech 6"" Premium Carbon Steel Joint Knife","TapeTech 6"" Premium Carbon Steel Joint Knife",,https://s3.amazonaws.com/tswfastcomfiles/product/TTTJK06CSTT_M.jpg
TapeTech,TK08SSTT,"TapeTech 8"" Premium Stainless Steel Taping Knife","TapeTech 8"" Premium Stainless Steel Taping Knife",,https://s3.amazonaws.com/tswfastcomfiles/product/TTTTK08SSTT_M.jpg
TapeTech,050132F,TapeTech Cut-Off Spring,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance. For repair or maintenance of the TapeTech 04TT and 05TT Tapers",For repair or maintenance of the TapeTech 04TT and 05TT Tapers,https://s3.amazonaws.com/capmatfiles/product/MD-TapeTech_CutOffSpring.jpg
TapeTech,202028,TapeTech Flat Box Threaded Washer,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT202028_M.jpg
TapeTech,PFKHATT,Tapetech Premium Finishing Handle Adapter,"The New Premium Finishing Knife Handle adapter is more robust, provides quick angle adjustment and improved durability. The Handle Adapter quickly and securely attaches to the TapeTech FHTT or XHTT Support handles. No need to buy another handle for your smoothing knives. The D-Shape fitting prevents twisting. This handle adapter also features a robust wing nut and quick-release cam locks, for easy removal. Features: Specially Designed For Use With TapeTech Smoothing Blades D-Shape Prevents Twisting Quick-Release Cam Locks Attaches To FHTT Or XHTT Handles",Specially Designed For Use With TapeTech Smoothing Blades | D-Shape Prevents Twisting | Quick-Release Cam Locks | Attaches To FHTT Or XHTT Handles,https://s3.amazonaws.com/tswfastcomfiles/product/TTTPFKHATT_M.jpg
TapeTech,501F4A,3 in TapeTech EZ Roll Adjustable Corner Finisher Kit,"For repair and maintenance of TapeTech 3"" 48TT EasyRoll adjustable corner finishers. Includes (1) 480005 Blade tension spring (1) 480017F Center clip short (1) 480021 Blade tension spring (2) 059084 8-32 x 1/4"" Set screw, 1/2 dog SST (1) 059091 6-32 x 1/2"" Fillister head screw SST (1) 484014F Center clip assembly (4) 489028 ""O"" rings","(1) 480005 Blade tension spring | (1) 480017F Center clip short | (1) 480021 Blade tension spring | (2) 059084 8-32 x 1/4"" Set screw, 1/2 dog SST | (1) 059091 6-32 x 1/2"" Fillister head screw SST | (1) 484014F Center clip assembly | (4) 489028 ""O"" rings",https://s3.amazonaws.com/tswfastcomfiles/product/TTT501F4A_M.jpg
TapeTech,450009F,"3"" Angle Head Carbide Blade","For Repair or Maintenance of the TapeTech 45TT 3"" Corner Finisher",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT400009F_M.jpg
TapeTech,TK10SSTT,"TapeTech 10"" Premium Stainless Steel Taping Knife","TapeTech 10"" Premium Stainless Steel Taping Knife",,https://s3.amazonaws.com/tswfastcomfiles/product/TTTTK10SSTT_M.jpg
TapeTech,PFK18TT,"TapeTech 18"" Premium Finishing Knife","Introducing an improved range of premium finishing knives for smoothing joint compound. Featuring a replaceable blade and redesigned grip profile, TapeTech premium finishing knives are the most ergonomic smoothing knives available. The new handle adapter is more robust, provides quick angle adjustment and improved durability. Best Quality AND Best Value, these premium finishing knives offer the best value in the industry. Up to 49% less than other brands, TapeTech makes it possible for every finisher to achieve the best results! Features: Optimal Comfort, Control And Ergonomics Molded Texture Provides Superior Grip Stainless Steel Blade 33% Lighter Than Competitive Brands Blades Are Now Easily To Replaceable 49% Less Than Other Brands","Optimal Comfort, Control And Ergonomics | Molded Texture Provides Superior Grip | Stainless Steel Blade | 33% Lighter Than Competitive Brands | Blades Are Now Easily To Replaceable | 49% Less Than Other Brands",https://s3.amazonaws.com/tswfastcomfiles/product/TTTPFK18TT_M.jpg
TapeTech,050163,TapeTech Main Chain Guide,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050163_M.jpg
TapeTech,254002,"10"" Box Blade Holder Assembly","10"" Box Blade Holder Assembly",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT254002_M.jpg
TapeTech,AMEMP0012,12 in AMES Feather-Lite Stainless Steel Pan,AMES offers a variety of drywall tools for all your drywall and plastering needs.,,https://s3.amazonaws.com/capmatfiles/product/MD-ames_featherlitemudpans.jpg
TapeTech,305045G,12 in TapeTech EZ Roll Wheels Axle Standard,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT305045G_M.jpg
TapeTech,NS02TT,2 in TapeTech EasyClean Nail Spotter,The TapeTech EasyClean® Nail Spotter is used to fill the depressions left from the nails or screw heads during installation of the drywall. The Nail Spotter features an easy clean box design that removes excess compound at the same time as filling the depressions. The hardened steel skid plate allows the Nail Spotter to move along the wall smoothly while protecting the stainless steel blade from nail or screw heads that were not fully set below the surface of the drywall. The XHTT extension handle and FHTT fiberglass handle are available separately. Features Fills depressions caused by nail or screw heads in drywall Removes excess joint compound after filling dimples EasyClean® design Stainless steel construction Skid design extends blade life over wheel designs,Fills depressions caused by nail or screw heads in drywall | Removes excess joint compound after filling dimples | EasyClean® design | Stainless steel construction | Skid design extends blade life over wheel designs,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTNS02TT_M.jpg
TapeTech,206003,Dial Assembly,Replacement Dial Assembly for TapeTech Boxes,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT206003_M__2_.jpg
TapeTech,700004F,Gland,Replacement Gland for TapeTech 72TT & 73TT Loading Pumps,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT700004F_M.jpg
TapeTech,JK01SSTT,"TapeTech 1"" Premium Stainless Steel Joint Knife","TapeTech 1"" Premium Stainless Steel Joint Knife",,https://s3.amazonaws.com/tswfastcomfiles/product/TTTJK01SSTT_M.jpg
TapeTech,MP12TT,"TapeTech 12"" Premium Mud Pan","TapeTech 12"" Premium Mud Pan",,https://s3.amazonaws.com/tswfastcomfiles/product/TTTMP12TT_M.jpg
TapeTech,JK05CSTT,"TapeTech 5"" Premium Carbon Steel Joint Knife","TapeTech 5"" Premium Carbon Steel Joint Knife",,https://s3.amazonaws.com/tswfastcomfiles/product/TTTJK05CSTT_M.jpg
TapeTech,880006F,TapeTech 88TTE Xtender Handle Master Link,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance. For repair or maintenance or TapeTech 88TTE Xtender Handle",For repair or maintenance or TapeTech 88TTE Xtender Handle,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT880006F_M.jpg
TapeTech,CAATT,TapeTech Corner Applicator Adapter,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance. Corner applicator adapter for TapeTech Fiberglass (FHTT) or Extension (XHTT) handles",Corner applicator adapter for TapeTech Fiberglass (FHTT) or Extension (XHTT) handles,https://s3.amazonaws.com/tswfastcomfiles/product/TTTCAATT_M.jpg
TapeTech,050249,TapeTech Creaser Connector,"TapeTech has been the number one selling brand of automatic taping and finishing tools for the drywall industry for over 30 years. TapeTech tools are known for quality design, engineering and performance.",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050249_M.jpg
TapeTech,724061F,TapeTech Draw Latch Assembly,Replacement draw latch assembly for TapeTech 72TT and 73TT loading pumps.,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT724061F_M.jpg
TapeTech,889027,TapeTech Flat Box Extender Handle Special Lockwasher,Replacement special lockwasher for the TapeTech 88TTE flat box extender handle.,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT889027_M.jpg
